latitude_deg,altitude,mean_vtheta
-87.5,0.5,0.053227
-82.5,0.5,-0.006345
-77.5,0.5,-0.01128
-72.5,0.5,0.050931
-67.5,0.5,0.016136
-62.5,0.5,0.005902
-57.5,0.5,0.015231
-52.5,0.5,0.001074
-47.5,0.5,0.006027
-42.5,0.5,0.00649
-37.5,0.5,0.012472
-32.5,0.5,-0.000499
-27.5,0.5,-0.00937
-22.5,0.5,0.004587
-17.5,0.5,-0.013358
-12.5,0.5,-0.012964
-7.5,0.5,-0.009397
-2.5,0.5,-0.007091
2.5,0.5,-0.009876
7.5,0.5,-0.004595
12.5,0.5,-0.002949
17.5,0.5,0.002876
22.5,0.5,0.004428
27.5,0.5,0.014419
32.5,0.5,0.024453
37.5,0.5,0.018454
42.5,0.5,0.012895
47.5,0.5,0.008931
52.5,0.5,-0.000743
57.5,0.5,0.005375
62.5,0.5,0.033142
67.5,0.5,0.048928
72.5,0.5,0.067033
77.5,0.5,0.00116
82.5,0.5,-0.07705
87.5,0.5,-0.016062
-87.5,1.5,-0.00142
-82.5,1.5,0.022582
-77.5,1.5,0.043337
-72.5,1.5,-0.001503
-67.5,1.5,0.006833
-62.5,1.5,-0.016654
-57.5,1.5,-0.014485
-52.5,1.5,0.006464
-47.5,1.5,0.004996
-42.5,1.5,-0.022117
-37.5,1.5,-0.00605
-32.5,1.5,-0.005744
-27.5,1.5,-0.006345
-22.5,1.5,-0.0046
-17.5,1.5,-0.011636
-12.5,1.5,0.0034
-7.5,1.5,0.006605
-2.5,1.5,-0.009579
2.5,1.5,-0.003883
7.5,1.5,-0.00023
12.5,1.5,-0.000358
17.5,1.5,0.002954
22.5,1.5,0.004133
27.5,1.5,0.020492
32.5,1.5,0.0061
37.5,1.5,-0.000497
42.5,1.5,0.014919
47.5,1.5,0.004951
52.5,1.5,-0.014534
57.5,1.5,0.011828
62.5,1.5,0.017188
67.5,1.5,0.016587
72.5,1.5,-0.005948
77.5,1.5,-0.011783
82.5,1.5,0.014326
87.5,1.5,0.006188
-87.5,2.5,0.055016
-82.5,2.5,0.035515
-77.5,2.5,-0.013731
-72.5,2.5,-0.010692
-67.5,2.5,-0.003517
-62.5,2.5,-0.010418
-57.5,2.5,0.003493
-52.5,2.5,0.01336
-47.5,2.5,0.00221
-42.5,2.5,-0.001061
-37.5,2.5,1.9e-05
